A298835;https://apamo.org/adopt/adoptable-pets/?petID=A298835;Male;TITUS;"Titus is looking for a forever home; he has lived with younger children in his previous home and is a...";Labrador Retriever;Mixed Breed;True;2024-07-12T18:46:44+0000;2024-07-12T18:46:46+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373313/1/?bust=1721049110&width=300
A298083;https://apamo.org/adopt/adoptable-pets/?petID=A298083;Male;GREMLIN;Gremlin is a friendly boy who has played well with dogs in the shelter. Come meet him today!;Pit Bull Terrier;;False;2024-07-12T18:46:44+0000;2024-07-12T18:46:46+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373297/1/?bust=1721048283&width=300
A080722;https://apamo.org/adopt/adoptable-pets/?petID=A080722;Male;OZZIE;CRAIG IS AN ACTIVE BOY LOOKING FOR A FAST-PACED HOME WITH LOTS OF ADVENTURES! HE IS DOWN FOR HIKING, RUNS,...;Boxer;Pit Bull Terrier;True;2024-07-12T18:46:44+0000;2024-07-12T18:46:46+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373285/1/?bust=1721049095&width=300
A298637;https://apamo.org/adopt/adoptable-pets/?petID=A298637;Male;PETER PAN;found at the intersection of Michelham and Netherton in 63136;Pit Bull Terrier;;False;2024-07-12T18:46:44+0000;2024-07-12T18:46:46+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373290/1/?bust=1721050092&width=300
A298052;https://apamo.org/adopt/adoptable-pets/?petID=A298052;Female;BARBARA;Found injured near intersection of Walker Avenue and Larimore Road in Unincorporated St. Louis County (Spanish Lake), 63138.;Pit Bull Terrier;;False;2024-07-12T18:46:43+0000;2024-07-12T18:46:44+0000;
A293757;https://apamo.org/adopt/adoptable-pets/?petID=A293757;Male;TRUSTY;Trusty is a young, playful dog who loves everyone he meets! He has done well with adults, children, and other...;Pit Bull Terrier;;False;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373254/1/?bust=1721048268&width=300
A298282;https://apamo.org/adopt/adoptable-pets/?petID=A298282;Female;GRACIE;Meet Gracie! She's a sweet lady with a mellow and easy going energy. She's a little nervous at first but...;Pit Bull Terrier;;False;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373248/1/?bust=1721048268&width=300
A298306;https://apamo.org/adopt/adoptable-pets/?petID=A298306;Male;PLUTO;Pluto can be a bit shy at first. He likes belly rubs and has been fine in the presence of...;Shiba Inu;Mixed Breed;True;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373238/1/?bust=1721049884&width=300
A295465;https://apamo.org/adopt/adoptable-pets/?petID=A295465;Male;WILLY;Willy is a snuggly wuggly sun slug who loves rolling in the grass like a playful alligator. This gentle boy...;Pit Bull Terrier;;False;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373263/1/?bust=1721049669&width=300
A299025;https://apamo.org/adopt/adoptable-pets/?petID=A299025;Female;ONNYA;Onnya is an affectionate crate-trained and housetrained young girl who has lived with dogs (Honey is her sister) and children....;German Shepherd Dog;Mixed Breed;True;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373220/1/?bust=1721049696&width=300
A299025;https://apamo.org/adopt/adoptable-pets/?petID=A299025;Female;ONNYA;Onnya is an affectionate crate-trained and housetrained young girl who has lived with dogs (Honey is her sister) and children....;German Shepherd Dog;Mixed Breed;True;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373220/1/?bust=1721049696&width=300
A298943;https://apamo.org/adopt/adoptable-pets/?petID=A298943;Male;SIMBA;Simba didn't have the best start in life, but he hasn't let that hold him back! He's quiet, easygoing, and...;Boxer;Mixed Breed;True;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373216/1/?bust=1721048305&width=300
A298943;https://apamo.org/adopt/adoptable-pets/?petID=A298943;Male;SIMBA;Simba didn't have the best start in life, but he hasn't let that hold him back! He's quiet, easygoing, and...;Boxer;Mixed Breed;True;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373216/1/?bust=1721048305&width=300
A297879;https://apamo.org/adopt/adoptable-pets/?petID=A297879;Female;PIXEL;Pixel is a sweet girl who would make a great addition to your home. Come meet her today!;Pit Bull Terrier;;False;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373273/1/?bust=1721049095&width=300
A298954;https://apamo.org/adopt/adoptable-pets/?petID=A298954;Male;LANCE;Lance is a laid-back boy who would fit perfectly in just about any home! He's housetrained, knows lots of cues,...;Rottweiler;Labrador Retriever;True;2024-07-12T18:46:43+0000;2024-07-12T18:46:45+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72373253/1/?bust=1721049067&width=300
A297397;https://apamo.org/adopt/adoptable-pets/?petID=A297397;Male;YOSHI;Meet Yoshi! He's a sweet, energetic guy that loves to run and play. He appears to be potty trained and...;Australian Cattle Dog / Blue Heeler;Mixed Breed;True;2024-07-07T02:53:36+0000;2024-07-07T02:53:39+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72307905/1/?bust=1721050125&width=300
A298420;https://apamo.org/adopt/adoptable-pets/?petID=A298420;Male;WAHLBURG;Wahlburg is a very sweet and social boy who walks well on a leash. Come meet him today!;Labrador Retriever;;False;2024-07-07T02:53:36+0000;2024-07-07T02:53:39+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72307910/1/?bust=1721047968&width=300
A298078;https://apamo.org/adopt/adoptable-pets/?petID=A298078;Female;GLENDA;Meet Glenda! Glenda is a beautiful lady that walks well on leash and keeps her kennel very clean. She's reserved...;Labrador Retriever;Mixed Breed;True;2024-07-07T02:53:36+0000;2024-07-07T02:53:39+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72307909/1/?bust=1721048268&width=300
A298054;https://apamo.org/adopt/adoptable-pets/?petID=A298054;Female;ROXY;;Doberman Pinscher;;False;2024-07-07T02:53:36+0000;2024-07-07T02:53:38+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72307914/1/?bust=1721048276&width=300
A298720;https://apamo.org/adopt/adoptable-pets/?petID=A298720;Female;DEBORAH;Deborah is a charming Husky mix that will bring light to even the cloudiest day. Come meet sweet Deborah today!;Siberian Husky;Mixed Breed;True;2024-07-07T02:53:35+0000;2024-07-07T02:53:37+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72307874/1/?bust=1721049110&width=300
A290217;https://apamo.org/adopt/adoptable-pets/?petID=A290217;Female;DIAMOND;Diamond is a sweet girl looking for a new home. She does great with kids, and has lived with other...;Redbone Coonhound;Mixed Breed;True;2024-07-07T02:53:35+0000;2024-07-07T02:53:37+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72307882/1/?bust=1721049880&width=300
A298515;https://apamo.org/adopt/adoptable-pets/?petID=A298515;Female;FURIOSA;Furiosa is a sweet girl who is VERY treat motivated. She is possibly house-trained as she usually keeps a clean...;Pit Bull Terrier;Mixed Breed;True;2024-07-07T02:53:35+0000;2024-07-07T02:53:37+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72307876/1/?bust=1721049696&width=300
A297764;https://apamo.org/adopt/adoptable-pets/?petID=A297764;Male;DUDES;Dudes is an adult boy who is looking for his forever home. Come meet him today!;Pit Bull Terrier;Mixed Breed;True;2024-07-07T02:53:35+0000;2024-07-07T02:53:38+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72307890/1/?bust=1721049854&width=300
A297352;https://apamo.org/adopt/adoptable-pets/?petID=A297352;Female;DESTINY;Meet Destiny! This sweet girl is looking for her forever home! Destiny has had a play group and would do...;Belgian Shepherd / Malinois;Mixed Breed;True;2024-07-01T11:10:47+0000;2024-07-01T11:10:50+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72235879/1/?bust=1721049666&width=300
A298226;https://apamo.org/adopt/adoptable-pets/?petID=A298226;Female;JANEY;;Pit Bull Terrier;;False;2024-06-26T10:50:25+0000;2024-06-26T10:50:27+0000;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/72173197/1/?bust=1721050132&width=300
